After Hours Change (Realtime),Annualized Gain,Ask,Ask (Realtime),Ask Size,Average Daily Volume,Bid,Bid (Realtime),Bid Size,Book Value Per Share,Change,Change Change In Percent,Change From Fiftyday Moving Average,Change From Two Hundredday Moving Average,Change From Year High,Change From Year Low,Change In Percent,Change In Percent (Realtime),Change (Realtime),Commission,Currency,Days High,Days Low,Days Range,Days Range (Realtime),Days Value Change,Days Value Change (Realtime),Dividend Pay Date,Trailing Annual Dividend Yield,Trailing Annual Dividend Yield In Percent,Diluted E P S,E B I T D A,E P S Estimate Current Year,E P S Estimate Next Quarter,E P S Estimate Next Year,Ex Dividend Date,Fiftyday Moving Average,Shares Float,High Limit,Holdings Gain,Holdings Gain Percent,Holdings Gain Percent (Realtime),Holdings Gain (Realtime),Holdings Value,Holdings Value (Realtime),Last Trade Date,Last Trade Price Only,Last Trade (Realtime) With Time,Last Trade Size,Last Trade Time,Last Trade With Time,Low Limit,Market Capitalization,Market Cap (Realtime),More Info,Name,Notes,Oneyr Target Price,Open,Order Book (Realtime),P E G Ratio,P E Ratio,P E Ratio (Realtime),Percent Change From Fiftyday Moving Average,Percent Change From Two Hundredday Moving Average,Change In Percent From Year High,Percent Change From Year Low,Previous Close,Price Book,Price E P S Estimate Current Year,Price E P S Estimate Next Year,Price Paid,Price Sales,Revenue,Shares Owned,Shares Outstanding,Short Ratio,Stock Exchange,Symbol,Ticker Trend,Trade Date,Trade Links,Trade Links Additional,Two Hundredday Moving Average,Volume,Year High,Year Low,Year Range
,,,,800.0,1292950.0,,,800.0,90.02,0.14,,-0.73,0.62,-5.99,13.08,0.0013000000000000002,,,,,,,,,,,,,,,3660000000.0,9.34,2.35,9.61,,112.63,324441000.0,,,,,,,,,111.9,,51569.0,,,,36630000000.0,,,,,119.49,,,1.91,,,-0.006500000000000001,0.005600000000000001,-0.050800000000000005,0.13240000000000002,,1.24,11.98,11.64,,1.91,19170000000.0,,327342000.0,3.3,,,,,,,111.28,,,,
,,,,500.0,19390.0,,,3300.0,3.78,0.0,,-0.06,-0.82,-2.32,0.28,0.0,,,,,,,,,,,,,,,-41390000.0,0.0,0.0,,,0.87,4898000.0,,,,,,,,,0.81,,100.0,,,,22340000.0,,,,,4.0,,,0.0,,,-0.0702,-0.5021,-0.7412000000000001,0.5283,,0.21,,,,0.2,109900000.0,,27583000.0,0.9,,,,,,,1.63,,,,
,,,,100.0,3323810.0,,,100.0,106.55,2.52,,-3.95,27.24,-22.93,110.08,0.0086,,,,,,,,,,,,,,,3900000000.0,17.54,4.38,21.24,,298.74,265639000.0,,,,,,,,,294.79,,84649.0,,,,78490000000.0,,,,,342.0,,,0.94,,,-0.013200000000000002,0.1018,-0.0722,0.596,,2.74,16.81,13.88,,5.96,13060000000.0,,266252000.0,6.9,,,,,,,267.55,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4200.0,727655.0,,,1100.0,10.8,0.09,,-0.52,-3.17,-12.6,1.59,0.0037,,,,,,,,,,,,,,,228720000.0,1.66,0.47,1.7,,24.66,56640000.0,,,,,,,,,24.14,,69925.0,,,,1490000000.0,,,,,25.8,,,2.16,,,-0.0211,-0.1159,-0.34299999999999997,0.0705,,2.23,14.54,14.2,,1.09,1360000000.0,,61758000.0,5.8,,,,,,,27.31,,,,
,,,,200.0,376985.0,,,100.0,29.04,-0.28,,3.44,20.88,-5.76,62.31,-0.0017000000000000001,,,,,,,,,,,,,,,390100000.0,5.35,1.65,6.69,,163.56,42646000.0,,,,,,,,,167.0,,10145.0,,,,7200000000.0,,,,,187.0,,,2.12,,,0.021,0.1429,-0.0333,0.5952000000000001,,5.76,31.21,24.96,,2.84,2540000000.0,,43099000.0,2.8,,,,,,,146.12,,,,
,,,,400.0,125310.0,,,2100.0,15.87,0.05,,0.06,0.23,-0.81,1.45,0.0036,,,,,,,,,,,,,,,0.0,,0.0,,,14.03,92041000.0,,,,,,,,,14.09,,46.0,,,,1360000000.0,,,,,,,,0.0,,,0.0039000000000000003,0.0168,-0.054400000000000004,0.11470000000000001,,0.88,,,,48.78,27710000.0,,96286000.0,0.0,,,,,,,13.86,,,,
,,,,100.0,83302.0,,,100.0,27.56,0.13,,0.45,-0.95,-7.71,2.47,0.0055000000000000005,,,,,,,,,,,,,,,0.0,,0.0,,,23.52,27249000.0,,,,,,,,,23.97,,400.0,,,,656300000.0,,,,,,,,0.0,,,0.0192,-0.0382,-0.2434,0.1149,,0.87,,,,34.3,19030000.0,,27380000.0,0.0,,,,,,,24.92,,,,
,,,,100.0,319903.0,,,200.0,6.33,0.15,,0.65,1.57,-1.07,2.74,0.0147,,,,,,,,,,,,,,,146080000.0,0.62,0.01,0.7,,9.7,91480000.0,,,,,,,,,10.35,,1832.0,,,,1250000000.0,,,,,11.34,,,16.45,,,0.0672,0.179,-0.09369999999999999,0.3601,,1.61,16.69,14.79,,1.7,722970000.0,,120489000.0,2.1,,,,,,,8.78,,,,
,,,,400.0,101244.0,,,300.0,4.88,0.71,,4.1,14.49,-1.16,26.82,0.0144,,,,,,,,,,,,,,,9260000.0,0.56,0.11,1.18,,46.07,962000.0,,,,,,,,,50.17,,869.0,,,,494730000.0,,,,,46.19,,,0.0,,,0.0889,0.4061,-0.0226,1.1486,,10.14,89.59,42.52,,2.31,210690000.0,,9861000.0,9.4,,,,,,,35.68,,,,
,,,,300.0,2258210.0,,,300.0,17.98,0.1,,1.84,5.7,-0.68,13.06,0.0024,,,,,,,,,,,,,,,1790000000.0,2.1,0.54,2.22,,40.07,170638000.0,,,,,,,,,41.91,,88721.0,,,,7170000000.0,,,,,43.78,,,3.03,,,0.046,0.1575,-0.016,0.45270000000000005,,2.33,19.96,18.88,,2.07,3460000000.0,,171152000.0,20.4,,,,,,,36.21,,,,
,,,,900.0,966306.0,,,200.0,27.52,2.15,,-0.32,0.82,-14.8,34.44,0.014499999999999999,,,,,,,,,,,,,,,1240000000.0,8.53,2.33,9.75,,150.52,72360000.0,,,,,,,,,150.2,,31328.0,,,,10930000000.0,,,,,168.67,,,1.29,,,-0.0021,0.0055000000000000005,-0.0897,0.2975,,5.38,17.61,15.41,,1.09,9840000000.0,,72791000.0,3.9,,,,,,,149.38,,,,
,,,,300.0,438847.0,,,500.0,4.41,-0.2,,0.47,4.65,-1.35,13.91,-0.0069,,,,,,,,,,,,,,,132400000.0,1.09,0.41,1.18,,28.18,29977000.0,,,,,,,,,28.65,,3614.0,,,,1530000000.0,,,,,24.29,,,0.65,,,0.0166,0.19390000000000002,-0.045,0.9437000000000001,,6.54,50.26,24.28,,1.33,1150000000.0,,53259000.0,2.6,,,,,,,24.0,,,,
